,SA2_code,SA2,1991_SA2,1992_SA2,1993_SA2,1994_SA2,1995_SA2,1996_SA2,1997_SA2,1998_SA2,1999_SA2,2000_SA2,2001_SA2,2002_SA2,2003_SA2,2004_SA2,2005_SA2,2006_SA2,2007_SA2,2008_SA2,2009_SA2,2010_SA2,2011_SA2,2012_SA2,2013_SA2,2014_SA2,2015_SA2,2016_SA2
1,101011001,Goulburn,22104,22044,21946,21847,21749,21710,21616,21545,21514,21475,21460,21370,21282,21190,21120,21024,21053,21281,21629,21973,22202,22442,22673,22897,23138,23415
2,101011002,GoulburnRegion,10128,10153,10154,10153,10152,10197,10227,10400,10570,10694,10839,11003,11107,11183,11329,11450,11495,11657,11783,11907,11956,12148,12346,12533,12715,12905
3,101011003,Yass,5010,5028,5035,5041,5049,5077,5128,5169,5227,5281,5342,5444,5588,5651,5684,5747,5822,5953,6168,6404,6549,6563,6586,6612,6635,6664
4,101011004,YassRegion,7140,7245,7332,7418,7504,7624,7818,7933,7961,8118,8258,8526,8793,9007,9158,9355,9723,10007,10276,10566,10840,11107,11298,11470,11619,11831
5,101011005,Young,9173,9244,9295,9342,9391,9481,9545,9586,9660,9729,9811,9871,9953,10045,10157,10269,10314,10356,10428,10542,10605,10647,10683,10714,10740,10775
6,101011006,YoungRegion,8112,8037,7944,7850,7757,7697,7634,7650,7644,7655,7660,7570,7522,7474,7443,7439,7400,7416,7461,7558,7623,7585,7534,7492,7444,7396
7,101021007,Braidwood,2418,2441,2458,2474,2491,2519,2492,2493,2593,2708,2760,2811,2835,2844,2847,2965,3102,3181,3308,3429,3458,3590,3685,3762,3849,3950
8,101021008,Karabar,8108,8405,8599,8699,8803,8873,8986,8962,8999,9063,9129,9199,9263,9277,9209,9212,9033,8994,9030,9101,9092,9012,8848,8731,8603,8531
9,101021009,Queanbeyan,9978,9925,9665,9573,9437,9404,9463,9502,9574,9639,9717,9513,9522,9400,9595,9682,9793,10074,10288,10584,10715,10870,11050,11199,11213,11230
10,101021010,Queanbeyan-East,3431,3424,3415,3404,3357,3360,3506,3532,3735,3807,3925,4073,4219,4218,4187,4319,4459,4595,4712,4813,4951,4971,4983,4967,4961,4970
11,101021011,QueanbeyanRegion,8269,8558,8850,9093,9301,9467,9576,9756,9895,10092,10268,10761,11185,11532,12035,12582,13092,13631,14028,14337,14612,14991,15409,15960,16618,17291
12,101021012,QueanbeyanWest-Jerrabomberra,3077,3656,4311,4947,5547,5940,6299,6638,7308,8717,9425,10257,11085,11549,12046,12358,12622,12798,12988,13146,13223,13204,13210,13193,13164,13150
13,101031013,Bombala,3173,3191,3182,3147,3102,3079,2982,2912,2800,2699,2622,2617,2590,2576,2577,2589,2567,2534,2516,2503,2484,2462,2451,2437,2428,2420
14,101031014,Cooma,7453,7416,7382,7329,7293,7286,7229,7165,7064,6977,6915,6945,6981,7008,7013,7022,6964,6936,6932,6934,6935,6931,6924,6914,6887,6870
15,101031015,CoomaRegion,2685,2742,2779,2846,2900,2959,2954,2945,2938,2933,2932,2946,2991,3023,3082,3141,3186,3196,3211,3244,3271,3282,3294,3305,3314,3327
16,101031016,Jindabyne-Berridale,4781,4914,5019,5155,5273,5375,5424,5684,6024,6139,6341,6497,6522,6521,6533,6585,6696,6774,6842,6896,6905,6932,6963,6987,7020,7071
17,101041017,BatemansBay,5044,5244,5388,5531,5640,5761,5980,6104,6268,6377,6537,6724,6993,7162,7293,7382,7501,7597,7644,7669,7772,7771,7776,7800,7829,7871
18,101041018,BatemansBay-South,5240,5550,5797,6021,6153,6283,6302,6456,6646,7083,7290,7412,7606,7746,7845,7892,8068,8200,8295,8460,8580,8559,8546,8532,8519,8510
19,101041019,Bega-Tathra,7140,7225,7277,7382,7446,7530,7609,7708,7804,7842,7928,7971,8061,8151,8159,8178,8231,8236,8275,8349,8353,8395,8448,8500,8540,8593
20,101041020,Bega-EdenHinterland,7847,7962,8015,8122,8176,8263,8302,8329,8350,8389,8429,8504,8549,8658,8741,8798,8826,8883,8993,9090,9073,9039,9014,8996,8971,8952
21,101041021,Broulee-Tomakin,1935,2052,2121,2176,2231,2343,2397,2497,2530,2577,2637,2695,2706,2756,2788,2811,2796,2790,2827,2879,2900,2972,3067,3165,3275,3341
22,101041023,Eden,3378,3379,3364,3358,3336,3336,3342,3356,3368,3355,3365,3324,3283,3270,3275,3234,3255,3270,3280,3312,3321,3320,3316,3310,3303,3298
23,101041024,EurobodallaHinterland,3105,3086,3057,3042,3009,2998,3019,3035,3042,3045,3059,3100,3159,3223,3276,3347,3361,3372,3366,3361,3328,3310,3318,3340,3356,3379
