,loss,mse,val_loss,val_mse,lr
0,4.7450574612304015e-05,4.745055048260838e-05,4.969177535238099e-05,4.969177462044172e-05,0.0010000000474974513
1,4.1226244501763685e-05,4.1226245230063796e-05,3.674459772823723e-05,3.6744608223671094e-05,0.0010000000474974513
2,4.909257425002854e-05,4.9092584958998486e-05,3.89999922814348e-05,3.899999865097925e-05,0.0010000000474974513
3,4.112411947201465e-05,4.112411988899112e-05,3.303517605561301e-05,3.3035172236850485e-05,0.0010000000474974513
4,3.995061863782979e-05,3.9950646169018e-05,2.122048113087963e-05,2.122049409081228e-05,0.0010000000474974513
5,4.284124467867884e-05,4.2841260437853634e-05,2.597885232459121e-05,2.5978850317187607e-05,0.0010000000474974513
6,3.386869605414034e-05,3.38686877512373e-05,3.878648459111592e-05,3.8786478398833424e-05,0.0010000000474974513
7,4.00086056303241e-05,4.000859917141497e-05,1.7055707963920823e-05,1.7055710486602038e-05,0.0010000000474974513
8,3.655490636535256e-05,3.655491673271172e-05,2.6117192132309043e-05,2.6117186280316673e-05,0.0010000000474974513
9,3.481976275749474e-05,3.481977546471171e-05,1.8065514130299095e-05,1.80655115400441e-05,0.0010000000474974513
10,3.4308659364915624e-05,3.430865763220936e-05,1.8729310875139677e-05,1.8729308067122474e-05,0.0010000000474974513
11,1.821356104006283e-05,1.821354999265168e-05,1.5399065009303685e-05,1.5399062249343842e-05,0.00020000000949949026
12,1.764189099767402e-05,1.764189073583111e-05,1.2199466462900215e-05,1.2199461707496084e-05,0.00020000000949949026
13,1.8277230245362796e-05,1.8277225535712205e-05,1.2982155550824224e-05,1.2982150110474322e-05,0.00020000000949949026
14,1.8267420708269837e-05,1.8267423001816496e-05,1.2760608091433713e-05,1.276060902455356e-05,0.00020000000949949026
15,1.9341708876565652e-05,1.9341707229614258e-05,1.32010662047308e-05,1.3201065485191066e-05,0.00020000000949949026
16,2.0428802501347982e-05,2.042880078079179e-05,1.2160018226578943e-05,1.2160020560259e-05,0.00020000000949949026
17,2.0314909731662705e-05,2.031491203524638e-05,1.776051014080917e-05,1.7760510672815144e-05,0.00020000000949949026
18,1.8579436785648313e-05,1.8579434254206717e-05,1.3267276653257025e-05,1.3267274880490731e-05,0.00020000000949949026
19,1.8995680366659394e-05,1.8995677237398922e-05,1.2090811832803562e-05,1.2090812560927588e-05,0.00020000000949949026
20,1.9585628943687525e-05,1.958563007065095e-05,1.763038455533081e-05,1.7630385627853684e-05,0.00020000000949949026
21,1.6370425434738136e-05,1.6370424418710172e-05,1.2736863922168985e-05,1.2736863936879672e-05,4.0000002627493814e-05
22,1.6283317214817473e-05,1.6283314835163765e-05,1.3920343155980943e-05,1.3920343917561695e-05,4.0000002627493814e-05
23,1.6575288433795263e-05,1.657529173826333e-05,1.197885088692471e-05,1.1978849215665832e-05,4.0000002627493814e-05
24,1.6313224683244918e-05,1.6313226296915673e-05,1.499200767405846e-05,1.4992010619607754e-05,4.0000002627493814e-05
25,1.6456872112865055e-05,1.64568773470819e-05,1.2222041354821535e-05,1.2222041732457e-05,4.0000002627493814e-05
26,1.692277396891711e-05,1.6922767827054486e-05,1.2123497657407864e-05,1.212350071000401e-05,4.0000002627493814e-05
27,1.6618841427181365e-05,1.6618840163573623e-05,1.2670235338112613e-05,1.2670232536038384e-05,4.0000002627493814e-05
28,1.6530845330534832e-05,1.6530848370166495e-05,1.2021591620116086e-05,1.2021590919175651e-05,4.0000002627493814e-05
29,1.6679285975258313e-05,1.667928881943226e-05,1.193942781893968e-05,1.1939425348828081e-05,4.0000002627493814e-05
30,1.6603240332775985e-05,1.6603231415501796e-05,1.2169944740868635e-05,1.2169944966444746e-05,4.0000002627493814e-05
31,1.5627411167151383e-05,1.562740908411797e-05,1.1854824275004159e-05,1.1854823242174461e-05,8.000000889296643e-06
32,1.5681521650665475e-05,1.5681520380894653e-05,1.1880824470125424e-05,1.1880828424182255e-05,8.000000889296643e-06
33,1.5635487039971082e-05,1.5635485397069715e-05,1.2055298161871145e-05,1.2055300430802163e-05,8.000000889296643e-06
34,1.5697639826529668e-05,1.569764754094649e-05,1.2872119939196012e-05,1.2872121260443237e-05,8.000000889296643e-06
35,1.569041151305517e-05,1.5690417058067396e-05,1.2178103183279327e-05,1.2178105862403754e-05,8.000000889296643e-06
36,1.568532195076908e-05,1.5685322068748064e-05,1.240899531262152e-05,1.2408999282342847e-05,8.000000889296643e-06
37,1.5652150736744394e-05,1.565215461596381e-05,1.2008690016792635e-05,1.2008692465315107e-05,8.000000889296643e-06
