,loss,mse,val_loss,val_mse,lr
0,1.1696737338543674e-05,1.1696738511091098e-05,1.2550922222163212e-05,1.2550921383081004e-05,4.999999873689376e-06
1,1.1676162493501596e-05,1.1676162102958187e-05,1.2551187976515071e-05,1.2551187865028623e-05,4.999999873689376e-06
2,1.1614730368076139e-05,1.161472755484283e-05,1.4600007395323876e-05,1.46000074892072e-05,4.999999873689376e-06
3,1.1635071653484657e-05,1.1635072041826788e-05,1.2395840478289287e-05,1.2395840712997597e-05,4.999999873689376e-06
4,1.1508882345219452e-05,1.1508886018418707e-05,1.2556748609518587e-05,1.2556748515635263e-05,4.999999873689376e-06
5,1.1549302715574618e-05,1.1549297596502583e-05,1.229674417704847e-05,1.2296745808271226e-05,4.999999873689376e-06
6,1.1607465549662495e-05,1.1607465239649173e-05,1.2459894465029075e-05,1.2459895515348762e-05,4.999999873689376e-06
7,1.1528198546633948e-05,1.1528199138410855e-05,1.2423091650435386e-05,1.2423090993252117e-05,4.999999873689376e-06
8,1.1439171364500067e-05,1.1439171430538408e-05,1.2450345961805132e-05,1.2450344911485445e-05,4.999999873689376e-06
9,1.156266508657652e-05,1.1562661711650435e-05,1.2304528072784324e-05,1.2304527444939595e-05,4.999999873689376e-06
10,1.1425681506481661e-05,1.1425683624111116e-05,1.2387140633373131e-05,1.2387141396175139e-05,4.999999873689376e-06
11,1.1324692486401731e-05,1.132469333242625e-05,1.2274737397796519e-05,1.2274738764972426e-05,9.999999974752427e-07
12,1.133728524878369e-05,1.1337281648593489e-05,1.2276819841410484e-05,1.2276819688850082e-05,9.999999974752427e-07
13,1.1330486591164024e-05,1.1330489542160649e-05,1.2379022325236996e-05,1.237902142747771e-05,9.999999974752427e-07
14,1.1371597489409716e-05,1.1371599612175487e-05,1.2287949715344791e-05,1.228795008501038e-05,9.999999974752427e-07
15,1.1307158817924859e-05,1.1307155546091963e-05,1.2248291721099973e-05,1.2248292478034273e-05,9.999999974752427e-07
16,1.1313294300734671e-05,1.1313290997350123e-05,1.2315755890496451e-05,1.2315756066527683e-05,9.999999974752427e-07
17,1.132833624833306e-05,1.132833585870685e-05,1.2248645144873374e-05,1.2248644452483859e-05,9.999999974752427e-07
18,1.1332122280513756e-05,1.1332122085150331e-05,1.2283945480087442e-05,1.2283944670343772e-05,9.999999974752427e-07
19,1.1318932172541118e-05,1.131893259298522e-05,1.2283406478320925e-05,1.228340533998562e-05,9.999999974752427e-07
20,1.1327677409857465e-05,1.1327677384542767e-05,1.224132951568707e-05,1.2241331205586903e-05,9.999999974752427e-07
21,1.1324675083648027e-05,1.1324674233037513e-05,1.2280594127068687e-05,1.228059409186244e-05,9.999999974752427e-07
22,1.1301188236153414e-05,1.1301189260848332e-05,1.226242770973195e-05,1.2262426935194526e-05,9.999999974752427e-07
23,1.1325036552026272e-05,1.132503712142352e-05,1.2276772330580806e-05,1.2276773304620292e-05,9.999999974752427e-07
24,1.1324207383793833e-05,1.13242058432661e-05,1.2288503139936966e-05,1.2288503057789057e-05,9.999999974752427e-07
25,1.1313625800730518e-05,1.1313624781905673e-05,1.2227319976157178e-05,1.2227318620716687e-05,9.999999974752427e-07
26,1.1300574318057726e-05,1.1300571713945828e-05,1.2197595307013891e-05,1.219759724335745e-05,9.999999974752427e-07
27,1.1321136385964978e-05,1.132113811763702e-05,1.2312106475526948e-05,1.2312108083278872e-05,9.999999974752427e-07
28,1.1291531983419064e-05,1.1291533155599609e-05,1.2429934846999634e-05,1.2429933121893555e-05,9.999999974752427e-07
29,1.1326396770876472e-05,1.1326400453981478e-05,1.2223889221317105e-05,1.2223888916196302e-05,9.999999974752427e-07
30,1.1312219386593557e-05,1.1312221431580838e-05,1.2226947805057505e-05,1.2226947546878364e-05,9.999999974752427e-07
31,1.1319769844677426e-05,1.1319771147100255e-05,1.2272926235915117e-05,1.2272924323042389e-05,9.999999974752427e-07
32,1.1311466189235011e-05,1.1311463822494261e-05,1.2292475149743334e-05,1.2292475730646402e-05,9.999999974752427e-07
33,1.1291881914715768e-05,1.1291884220554493e-05,1.2246642977369184e-05,1.2246643564139958e-05,9.999999974752427e-07
34,1.1305161542245068e-05,1.1305161024210975e-05,1.2229536878294311e-05,1.2229537787789013e-05,9.999999974752427e-07
35,1.1297690827658739e-05,1.1297691344225314e-05,1.2218459496873567e-05,1.2218460142321419e-05,9.999999974752427e-07
36,1.1297500126174463e-05,1.1297501259832643e-05,1.225786241012693e-05,1.2257862181286328e-05,9.999999974752427e-07
37,1.1288409754879977e-05,1.1288408131804317e-05,1.2428200182424213e-05,1.2428198715497274e-05,9.999999974752427e-07
38,1.1303168119168692e-05,1.130316832131939e-05,1.221808247317958e-05,1.2218081792525481e-05,9.999999974752427e-07
39,1.1295087228292427e-05,1.1295087460894138e-05,1.2332249770547459e-05,1.2332249752944335e-05,9.999999974752427e-07
40,1.128461764387003e-05,1.1284616448392626e-05,1.2241616428993087e-05,1.224161678692326e-05,9.999999974752427e-07
41,1.129019594524103e-05,1.1290195288893301e-05,1.2310435428638987e-05,1.2310436432017013e-05,9.999999974752427e-07
42,1.1295116092550459e-05,1.129511474573519e-05,1.2228800035025474e-05,1.2228798368596472e-05,9.999999974752427e-07
43,1.12668128238011e-05,1.1266815818089526e-05,1.244983003773321e-05,1.244982922798954e-05,9.999999974752427e-07
44,1.1301430528623756e-05,1.1301433005428407e-05,1.2218285296365783e-05,1.221828642883338e-05,9.999999974752427e-07
45,1.1303085402845188e-05,1.130308646679623e-05,1.2213941866526335e-05,1.2213941772643011e-05,9.999999974752427e-07
46,1.1300002048142169e-05,1.1300001460767817e-05,1.2207818925221105e-05,1.2207818144815974e-05,9.999999974752427e-07
47,1.1276925977286559e-05,1.1276926670689136e-05,1.219037390147869e-05,1.2190373126941267e-05,9.999999974752427e-07
48,1.128089726480627e-05,1.1280894796072971e-05,1.2212920850171002e-05,1.221292041009292e-05,9.999999974752427e-07
49,1.1276940613584112e-05,1.1276940313109662e-05,1.2214316015043522e-05,1.2214316484460142e-05,9.999999974752427e-07
50,1.128921068511798e-05,1.1289208487141877e-05,1.2249434421978695e-05,1.2249433893884998e-05,9.999999974752427e-07
51,1.1276958945827459e-05,1.1276962140982505e-05,1.222229808087333e-05,1.22222982099629e-05,9.999999974752427e-07
52,1.1273800035008014e-05,1.1273797099420335e-05,1.2469227752468037e-05,1.2469227840483654e-05,9.999999974752427e-07
53,1.131489221101727e-05,1.1314891708025243e-05,1.2196041931137217e-05,1.2196042007417418e-05,9.999999974752427e-07
54,1.1267981618414073e-05,1.1267981790297199e-05,1.2324991545146105e-05,1.2324991075729486e-05,9.999999974752427e-07
55,1.1303293337401319e-05,1.1303297469567042e-05,1.2204699464012764e-05,1.2204701306472998e-05,9.999999974752427e-07
56,1.1277726839835263e-05,1.1277727026026696e-05,1.2238113976631974e-05,1.223811341333203e-05,9.999999974752427e-07
57,1.1267528394164138e-05,1.1267527042946313e-05,1.2194623131137868e-05,1.2194623195682652e-05,9.999999974752427e-07
58,1.1289145007786987e-05,1.1289140275039244e-05,1.2227396895938117e-05,1.2227395927766338e-05,9.999999974752427e-07
59,1.1267234965271641e-05,1.126723327615764e-05,1.2362123544012466e-05,1.236212392541347e-05,9.999999974752427e-07
60,1.127180533207191e-05,1.1271807125012856e-05,1.224975464039392e-05,1.2249754945514724e-05,9.999999974752427e-07
61,1.126216849534345e-05,1.1262171028647572e-05,1.230721404534697e-05,1.230721318279393e-05,9.999999974752427e-07
62,1.1258045473913288e-05,1.1258043741690926e-05,1.2201614258482285e-05,1.220161448145518e-05,9.999999974752427e-07
63,1.1275725508117282e-05,1.1275727047177497e-05,1.2220700920161401e-05,1.2220700227771886e-05,9.999999974752427e-07
64,1.12609034366414e-05,1.1260901374043897e-05,1.220950633714599e-05,1.2209506166982464e-05,9.999999974752427e-07
65,1.1258853178034077e-05,1.1258853191975504e-05,1.2228184230832172e-05,1.2228184459672775e-05,9.999999974752427e-07
66,1.126285488639054e-05,1.1262854968663305e-05,1.2281045447678246e-05,1.2281046110729221e-05,9.999999974752427e-07
67,1.1257224551117991e-05,1.1257228834438138e-05,1.234112597528785e-05,1.2341126421233639e-05,9.999999974752427e-07
68,1.1257238586833523e-05,1.1257241567363963e-05,1.2224998441055387e-05,1.2224998499732465e-05,9.999999974752427e-07
69,1.1262470510320863e-05,1.1262471161899157e-05,1.2201717418652297e-05,1.2201717254356481e-05,9.999999974752427e-07
70,1.1275210317157334e-05,1.1275211363681592e-05,1.2205156001014514e-05,1.2205154234834481e-05,9.999999974752427e-07
71,1.1252347165835372e-05,1.1252349395363126e-05,1.2259457200284927e-05,1.225945925398264e-05,9.999999974752427e-07
72,1.126129212180452e-05,1.1261293366260361e-05,1.2284880974602269e-05,1.2284879630897194e-05,9.999999974752427e-07
73,1.127279868445984e-05,1.1272795745753683e-05,1.2192838057085135e-05,1.2192838767077774e-05,9.999999974752427e-07
74,1.1266363095180658e-05,1.1266363799222745e-05,1.2297378957408645e-05,1.229737881658366e-05,9.999999974752427e-07
75,1.1242124421540265e-05,1.1242124855925795e-05,1.236186465487868e-05,1.2361863809928764e-05,9.999999974752427e-07
76,1.1258720963773023e-05,1.1258720405749045e-05,1.2179818305969914e-05,1.217981753143249e-05,9.999999974752427e-07
77,1.1264644940636557e-05,1.1264642125752289e-05,1.2303361038521549e-05,1.2303359653742518e-05,9.999999974752427e-07
78,1.1259108134456865e-05,1.1259106940997299e-05,1.217713154713443e-05,1.2177132703072857e-05,9.999999974752427e-07
79,1.1240579954986064e-05,1.1240580533922184e-05,1.2334500423739589e-05,1.2334499842836522e-05,9.999999974752427e-07
80,1.1237466685648518e-05,1.1237465514568612e-05,1.2182052506109505e-05,1.2182052159914747e-05,9.999999974752427e-07
81,1.124075268303531e-05,1.1240750609431416e-05,1.2192273120050349e-05,1.2192273970867973e-05,9.999999974752427e-07
82,1.125818689373558e-05,1.1258186532359105e-05,1.2319937841018527e-05,1.2319937013671733e-05,9.999999974752427e-07
83,1.124286792813921e-05,1.1242868822591845e-05,1.2237725915779705e-05,1.2237726878083777e-05,9.999999974752427e-07
84,1.1245961179421326e-05,1.1245962014072575e-05,1.2206584201081685e-05,1.2206583960505668e-05,9.999999974752427e-07
85,1.1249936399340778e-05,1.1249933777435217e-05,1.218454175790201e-05,1.2184542356408201e-05,9.999999974752427e-07
86,1.1277071308229572e-05,1.1277071280346718e-05,1.2259510044860954e-05,1.2259509276191238e-05,9.999999974752427e-07
87,1.1243542660208987e-05,1.1243537301197648e-05,1.2172146278082378e-05,1.2172146853117738e-05,9.999999974752427e-07
88,1.1243840362515878e-05,1.1243840162933338e-05,1.2258320302569172e-05,1.225831965712132e-05,9.999999974752427e-07
89,1.125182154173481e-05,1.1251820978941396e-05,1.2232108976252587e-05,1.2232108929310925e-05,9.999999974752427e-07
90,1.1246760336163004e-05,1.1246760550420731e-05,1.2183099416659153e-05,1.2183100807305891e-05,9.999999974752427e-07
91,1.1235613956889887e-05,1.1235614692850504e-05,1.232759872026133e-05,1.2327598597039469e-05,9.999999974752427e-07
92,1.124557160090621e-05,1.1245571840845514e-05,1.2192450084248483e-05,1.2192451322334819e-05,9.999999974752427e-07
93,1.121896644773338e-05,1.1218968211323954e-05,1.221036535195796e-05,1.2210364729980938e-05,9.999999974752427e-07
94,1.1254785671918369e-05,1.1254785931669176e-05,1.23130545504072e-05,1.231305577675812e-05,9.999999974752427e-07
