,loss,mse,val_loss,val_mse,lr
0,1.4743481831046644e-05,1.4743482097401284e-05,1.406400121683668e-05,1.4064001334190834e-05,4.999999873689376e-06
1,1.4344030426071332e-05,1.4344031114887912e-05,1.4224600055322593e-05,1.4224598999135196e-05,4.999999873689376e-06
2,1.4197981399202684e-05,1.4197982636687811e-05,1.6692556786320864e-05,1.6692558347131126e-05,4.999999873689376e-06
3,1.4128932901541539e-05,1.4128934708423913e-05,1.3610688056947003e-05,1.3610687346954364e-05,4.999999873689376e-06
4,1.3980044013420812e-05,1.3980042240291368e-05,1.3794691327465472e-05,1.379468994855415e-05,4.999999873689376e-06
5,1.3985097850581327e-05,1.398509630234912e-05,1.3384423301988957e-05,1.3384424164541997e-05,4.999999873689376e-06
6,1.4000203476750268e-05,1.400019846187206e-05,1.3370171449599683e-05,1.3370170563575812e-05,4.999999873689376e-06
7,1.390454987251001e-05,1.3904555089538917e-05,1.349564885341322e-05,1.3495648090611212e-05,4.999999873689376e-06
8,1.378016912747845e-05,1.3780168956145644e-05,1.3394856115712994e-05,1.339485515927663e-05,4.999999873689376e-06
9,1.3933320576226442e-05,1.3933323316450696e-05,1.3502894774231413e-05,1.3502894944394939e-05,4.999999873689376e-06
10,1.371065355237447e-05,1.3710650819120929e-05,1.3210575531458392e-05,1.3210576071287505e-05,4.999999873689376e-06
11,1.3572678619752763e-05,1.3572681382356677e-05,1.3208736797218256e-05,1.3208737982495222e-05,9.999999974752427e-07
12,1.3576501811891147e-05,1.3576498531620018e-05,1.322611000021777e-05,1.3226108421804383e-05,9.999999974752427e-07
13,1.355031948827168e-05,1.3550318726629484e-05,1.3564658964300648e-05,1.356465963908704e-05,9.999999974752427e-07
14,1.3609384536150839e-05,1.3609385860036127e-05,1.3189955350225641e-05,1.3189957826398313e-05,9.999999974752427e-07
15,1.351677292588369e-05,1.3516774743038695e-05,1.319350599993824e-05,1.319350576522993e-05,9.999999974752427e-07
16,1.3545063580759677e-05,1.3545062756747939e-05,1.331799287600593e-05,1.33179937620298e-05,9.999999974752427e-07
17,1.3553453649205151e-05,1.3553456483350601e-05,1.316341067356388e-05,1.3163410585548263e-05,9.999999974752427e-07
18,1.3557980471974593e-05,1.355798030999722e-05,1.3244181988533632e-05,1.3244180991023313e-05,9.999999974752427e-07
19,1.3547667192233018e-05,1.354766936856322e-05,1.3211669383670068e-05,1.3211668374424335e-05,9.999999974752427e-07
20,1.3567576598083918e-05,1.356757366011152e-05,1.3153042604127192e-05,1.315304143645335e-05,9.999999974752427e-07
21,1.3509190142765862e-05,1.3509190466720611e-05,1.315877472675751e-05,1.3158772162569221e-05,9.999999974752427e-07
22,1.3491509950253291e-05,1.349151261820225e-05,1.3202905263883181e-05,1.3202906302467454e-05,9.999999974752427e-07
23,1.3526984059354442e-05,1.3526984730560798e-05,1.3235685794150471e-05,1.323568449151935e-05,9.999999974752427e-07
24,1.3499981292818286e-05,1.3499982742359862e-05,1.3171188185233697e-05,1.3171190403227229e-05,9.999999974752427e-07
25,1.350137360850329e-05,1.3501374269253574e-05,1.323221147158033e-05,1.3232210221758578e-05,9.999999974752427e-07
26,1.3466890730308376e-05,1.3466888049151748e-05,1.3134907972163355e-05,1.3134907931089401e-05,9.999999974752427e-07
27,1.351025186794972e-05,1.3510250028048176e-05,1.3229319923876544e-05,1.3229319847596344e-05,9.999999974752427e-07
28,1.3463065525101243e-05,1.3463062714436091e-05,1.3406972767927894e-05,1.3406972357188351e-05,9.999999974752427e-07
29,1.3516076751164723e-05,1.3516077160602435e-05,1.3132079560994996e-05,1.3132079402566887e-05,9.999999974752427e-07
30,1.3489414493171269e-05,1.3489417142409366e-05,1.3285757960411795e-05,1.3285758541314863e-05,9.999999974752427e-07
31,1.3506853540079346e-05,1.3506854884326458e-05,1.3154440796736914e-05,1.3154440239304677e-05,9.999999974752427e-07
32,1.35105540531593e-05,1.3510553799278568e-05,1.3152227086632798e-05,1.3152227438695263e-05,9.999999974752427e-07
33,1.3454473994407335e-05,1.3454472536977846e-05,1.3162192056282243e-05,1.3162192772142589e-05,9.999999974752427e-07
34,1.344130610246623e-05,1.3441307601169683e-05,1.31146052632586e-05,1.311460800934583e-05,9.999999974752427e-07
35,1.3447868594689484e-05,1.3447865057969466e-05,1.311919842860774e-05,1.3119198229105677e-05,9.999999974752427e-07
36,1.3457192811416791e-05,1.345719829259906e-05,1.3119033135280328e-05,1.3119033610564657e-05,9.999999974752427e-07
37,1.3440030079198365e-05,1.3440031580103096e-05,1.3275173272807978e-05,1.3275171113491524e-05,9.999999974752427e-07
38,1.3424215837420852e-05,1.3424211829260457e-05,1.3103614911679253e-05,1.3103614037390798e-05,9.999999974752427e-07
39,1.3426588048347492e-05,1.3426591067400295e-05,1.3272487452805733e-05,1.3272487194626592e-05,9.999999974752427e-07
40,1.3409169107729405e-05,1.340916696790373e-05,1.310075655759823e-05,1.310075731453253e-05,9.999999974752427e-07
41,1.3400822108205585e-05,1.3400823263509665e-05,1.3290421596931053e-05,1.329042061115615e-05,9.999999974752427e-07
42,1.3436651688303016e-05,1.3436651897791307e-05,1.3091293276961697e-05,1.309129311266588e-05,9.999999974752427e-07
43,1.3371356728473639e-05,1.3371356544666924e-05,1.330220729282554e-05,1.3302206752996426e-05,9.999999974752427e-07
44,1.3419780224422711e-05,1.3419778952084016e-05,1.3102657618630121e-05,1.3102657248964533e-05,9.999999974752427e-07
45,1.343679313912664e-05,1.3436791050480679e-05,1.3076815423940594e-05,1.3076815776003059e-05,9.999999974752427e-07
46,1.3415124766119956e-05,1.3415125067695044e-05,1.3109630192282624e-05,1.3109631254337728e-05,9.999999974752427e-07
47,1.336946176746244e-05,1.3369458429224323e-05,1.3067682600869316e-05,1.3067682630207855e-05,9.999999974752427e-07
48,1.3387162567606072e-05,1.338716538157314e-05,1.3128422535608538e-05,1.3128421414876357e-05,9.999999974752427e-07
49,1.3390257428756179e-05,1.3390259482548572e-05,1.3102127383218988e-05,1.31021270135534e-05,9.999999974752427e-07
50,1.3392026532246926e-05,1.3392029359238222e-05,1.3121591273961858e-05,1.3121588381181937e-05,9.999999974752427e-07
51,1.3394117690049535e-05,1.3394118468568195e-05,1.3211683724347817e-05,1.3211683835834265e-05,9.999999974752427e-07
52,1.3357521277510624e-05,1.3357522220758256e-05,1.3644158928899184e-05,1.3644159480463713e-05,9.999999974752427e-07
53,1.3415910357485838e-05,1.341591269010678e-05,1.3071638175226268e-05,1.3071638022665866e-05,9.999999974752427e-07
