,loss,mse,val_loss,val_mse,lr
0,4.1554685216157566e-05,4.155468559474684e-05,2.6910961717483063e-05,2.6910964152193628e-05,0.0010000000474974513
1,3.8009941703384666e-05,3.8009940908523276e-05,2.9030977999435947e-05,2.90309835691005e-05,0.0010000000474974513
2,4.7712056483816004e-05,4.771207386511378e-05,3.880504356904817e-05,3.880505028064363e-05,0.0010000000474974513
3,4.0081089511768404e-05,4.008109317510389e-05,2.35073171997127e-05,2.3507323930971324e-05,0.0010000000474974513
4,3.964467319792983e-05,3.96446484955959e-05,5.2703046017648324e-05,5.27030169905629e-05,0.0010000000474974513
5,4.147104812881324e-05,4.147105209995061e-05,1.744717440014785e-05,1.7447175196139142e-05,0.0010000000474974513
6,3.224147424977593e-05,3.224148531444371e-05,5.62274689811089e-05,5.622747994493693e-05,0.0010000000474974513
7,3.6361075873708256e-05,3.6361081583891064e-05,1.8977248149852027e-05,1.8977247236762196e-05,0.0010000000474974513
8,3.543954432422669e-05,3.543953789630905e-05,1.5247373377896445e-05,1.5247371266013943e-05,0.0010000000474974513
9,4.029575273233316e-05,4.029574847663753e-05,2.267920507552353e-05,2.2679194444208406e-05,0.0010000000474974513
10,3.481020291728571e-05,3.481020758044906e-05,2.157444359185849e-05,2.157444578188006e-05,0.0010000000474974513
11,1.8334915805251913e-05,1.8334916603635065e-05,1.5039253888421303e-05,1.5039251593407243e-05,0.00020000000949949026
12,1.7670984509459937e-05,1.7670978195383213e-05,1.2532129980864931e-05,1.2532130313047674e-05,0.00020000000949949026
13,1.8408880732873083e-05,1.840888216975145e-05,1.3515412587115663e-05,1.351541231997544e-05,0.00020000000949949026
14,1.8386919630766578e-05,1.8386917872703634e-05,1.283813603604082e-05,1.2838135262427386e-05,0.00020000000949949026
15,1.965473094981965e-05,1.9654738935059868e-05,1.3258515135170386e-05,1.3258520084491465e-05,0.00020000000949949026
16,2.0499350370475144e-05,2.049935210379772e-05,1.2465179005809218e-05,1.2465179679566063e-05,0.00020000000949949026
17,2.0625787012676064e-05,2.062579005723819e-05,1.7668814295668462e-05,1.766881177900359e-05,0.00020000000949949026
18,1.8912842948789734e-05,1.8912845916929655e-05,1.334187320465443e-05,1.3341867088456638e-05,0.00020000000949949026
19,1.9075502266889358e-05,1.9075503587373532e-05,1.2507762588940104e-05,1.2507764040492475e-05,0.00020000000949949026
20,1.9766298613468425e-05,1.9766306650126353e-05,1.669627713948761e-05,1.6696272723493166e-05,0.00020000000949949026
21,1.6350395987738382e-05,1.6350399164366536e-05,1.2957070091298249e-05,1.2957071703567635e-05,4.0000002627493814e-05
22,1.6314645266777493e-05,1.6314646927639842e-05,1.393890404850372e-05,1.3938907613919582e-05,4.0000002627493814e-05
23,1.6527224570144086e-05,1.6527224943274632e-05,1.2192731613252898e-05,1.219273417518707e-05,4.0000002627493814e-05
24,1.6337109224190452e-05,1.6337105989805423e-05,1.5532692368503418e-05,1.5532697943854146e-05,4.0000002627493814e-05
25,1.6453663542340583e-05,1.6453657735837623e-05,1.2583993146160202e-05,1.2583989700942766e-05,4.0000002627493814e-05
26,1.694405426123684e-05,1.69440645549912e-05,1.2299648384160378e-05,1.2299648915359285e-05,4.0000002627493814e-05
27,1.6680525416676912e-05,1.6680518456269056e-05,1.2622638655880067e-05,1.2622636859305203e-05,4.0000002627493814e-05
28,1.6570633502034656e-05,1.657063876336906e-05,1.2265155662814924e-05,1.2265159057278652e-05,4.0000002627493814e-05
29,1.6743381007914616e-05,1.674337727308739e-05,1.2128354688510013e-05,1.2128358321206179e-05,4.0000002627493814e-05
30,1.663399720022838e-05,1.6633999621262774e-05,1.2225750692167654e-05,1.222574519488262e-05,4.0000002627493814e-05
31,1.564489249596374e-05,1.5644898667233065e-05,1.2007126925033421e-05,1.2007127224933356e-05,8.000000889296643e-06
32,1.5688648089111568e-05,1.5688647181377746e-05,1.2048949848609316e-05,1.2048949429299682e-05,8.000000889296643e-06
33,1.5648555377580987e-05,1.5648558473913e-05,1.2192888720612038e-05,1.2192886060802266e-05,8.000000889296643e-06
34,1.5712172269767016e-05,1.5712166714365594e-05,1.3064449220154866e-05,1.3064444829069544e-05,8.000000889296643e-06
35,1.5702161167165408e-05,1.570216045365669e-05,1.2293826145973057e-05,1.2293820873310324e-05,8.000000889296643e-06
