,loss,mse,val_loss,val_mse,lr
0,3.423573568025919e-05,3.4235723433084786e-05,2.179992328941436e-05,2.1799927708343603e-05,0.0010000000474974513
1,2.836871417556951e-05,2.8368709536152892e-05,1.920018551366843e-05,1.920018985401839e-05,0.0010000000474974513
2,2.937094871758647e-05,2.937096360255964e-05,1.925954577532451e-05,1.92595471162349e-05,0.0010000000474974513
3,2.489508347777067e-05,2.4895081878639758e-05,1.3194004697672814e-05,1.3194002349337097e-05,0.0010000000474974513
4,2.3617030169861578e-05,2.361702536290977e-05,1.7224018547342905e-05,1.7224019757122733e-05,0.0010000000474974513
5,2.49254890724843e-05,2.4925500838435255e-05,9.266177137322805e-05,9.266175766242668e-05,0.0010000000474974513
6,2.4091197192553614e-05,2.4091195882647298e-05,1.171728847546012e-05,1.1717288543877658e-05,0.0010000000474974513
7,2.014267978969762e-05,2.0142684661550447e-05,1.1488987503401715e-05,1.148898900282802e-05,0.0010000000474974513
8,2.1948634517804686e-05,2.1948630092083476e-05,1.3808908870008985e-05,1.380890444124816e-05,0.0010000000474974513
9,2.2214958633190232e-05,2.221495560661424e-05,3.2407420166941045e-05,3.2407435355708e-05,0.0010000000474974513
10,2.25340230169927e-05,2.253400452900678e-05,1.788840709976595e-05,1.788840745575726e-05,0.0010000000474974513
11,1.286304671347594e-05,1.2863045412814245e-05,1.0285267195843902e-05,1.0285269127052743e-05,0.00020000000949949026
12,1.276338976957529e-05,1.2763387530867476e-05,1.1544402121236947e-05,1.1544400877028238e-05,0.00020000000949949026
13,1.297950362710812e-05,1.297950166190276e-05,1.134532697636086e-05,1.1345327948220074e-05,0.00020000000949949026
14,1.294521685205025e-05,1.2945215530635323e-05,1.1311238918526882e-05,1.1311240996292327e-05,0.00020000000949949026
15,1.409106669012389e-05,1.409106425853679e-05,2.6856048640816616e-05,2.6856047043111175e-05,0.00020000000949949026
16,1.3595813861705674e-05,1.3595811651612166e-05,1.1730759062348505e-05,1.173075543192681e-05,0.00020000000949949026
