,loss,mse,val_loss,val_mse,lr
0,9.847626350252545e-06,9.847629371506628e-06,6.485492920018582e-06,6.485492122010328e-06,4.999999873689376e-06
1,9.80575251408479e-06,9.805750778468791e-06,6.468279626724618e-06,6.4682785705372225e-06,4.999999873689376e-06
2,9.652154409608753e-06,9.652151675254572e-06,6.770711834472041e-06,6.770711934223073e-06,4.999999873689376e-06
3,9.608442514457686e-06,9.608439540897962e-06,6.486786447391252e-06,6.4867872424656525e-06,4.999999873689376e-06
4,9.552294004580983e-06,9.552295523462817e-06,6.4313705714143465e-06,6.431370366044575e-06,4.999999873689376e-06
5,9.52194982403421e-06,9.52194841374876e-06,6.452894353236432e-06,6.4528944676567335e-06,4.999999873689376e-06
6,9.439521570411124e-06,9.43952090892708e-06,6.7342216806859905e-06,6.734220733051188e-06,4.999999873689376e-06
7,9.49708342606583e-06,9.497082828602288e-06,6.479380734221664e-06,6.479380772361765e-06,4.999999873689376e-06
8,9.479054266416327e-06,9.479054824623745e-06,6.4790705701236745e-06,6.47907063466846e-06,4.999999873689376e-06
9,9.413609468710632e-06,9.413611223862972e-06,6.618012758413134e-06,6.618012776016258e-06,4.999999873689376e-06
10,9.403127512555444e-06,9.403125659446232e-06,6.488552524740132e-06,6.488553026429145e-06,4.999999873689376e-06
11,9.30152444872354e-06,9.301524187321775e-06,6.47492213888214e-06,6.474921974586323e-06,9.999999974752427e-07
12,9.293586416204752e-06,9.2935861175647e-06,6.471606394047886e-06,6.471605956903659e-06,9.999999974752427e-07
13,9.291822647144407e-06,9.291822607337963e-06,6.471947445759489e-06,6.471948381658876e-06,9.999999974752427e-07
14,9.288560590490478e-06,9.28856388782151e-06,6.4724185376103235e-06,6.472419045167044e-06,9.999999974752427e-07
15,9.281476915611947e-06,9.281478014599998e-06,6.487243442074208e-06,6.487242899311241e-06,9.999999974752427e-07
16,9.277346710677845e-06,9.277347089664545e-06,6.493932030406863e-06,6.493932232842781e-06,9.999999974752427e-07
17,9.281482300029702e-06,9.281483471568208e-06,6.504591531284536e-06,6.5045910560002085e-06,9.999999974752427e-07
18,9.272706516403758e-06,9.272704119211994e-06,6.5360262969108826e-06,6.536027285619639e-06,9.999999974752427e-07
19,9.273408651082961e-06,9.27340988710057e-06,6.477618485552093e-06,6.477619535871781e-06,9.999999974752427e-07
20,9.266248720815354e-06,9.266250344808213e-06,6.4988199043117705e-06,6.498819857370108e-06,9.999999974752427e-07
21,9.265129525582158e-06,9.265132575819734e-06,6.4939196260726725e-06,6.493919499916956e-06,9.999999974752427e-07
22,9.257422379795093e-06,9.257422789232805e-06,6.5049709578048464e-06,6.5049712247855496e-06,9.999999974752427e-07
23,9.254179137097518e-06,9.254180440620985e-06,6.506016859108763e-06,6.5060166889452375e-06,9.999999974752427e-07
24,9.253052158879003e-06,9.253049938706681e-06,6.510762338415764e-06,6.5107628870464396e-06,9.999999974752427e-07
