,loss,mse,val_loss,val_mse,lr
0,9.816971273488751e-06,9.816968486120459e-06,6.553583637381258e-06,6.553584626090014e-06,4.999999873689376e-06
1,9.764198870681453e-06,9.764195965544786e-06,6.5560292686343255e-06,6.55602934784838e-06,4.999999873689376e-06
2,9.616373466749163e-06,9.616372153686825e-06,6.904943658751548e-06,6.904943347763037e-06,4.999999873689376e-06
3,9.581038644982222e-06,9.58104010351235e-06,6.563444663521706e-06,6.5634449128992856e-06,4.999999873689376e-06
4,9.523655846051069e-06,9.523653716314584e-06,6.508844008719954e-06,6.508845217467751e-06,4.999999873689376e-06
5,9.501526523042357e-06,9.50152661971515e-06,6.537190250627088e-06,6.5371905293432064e-06,4.999999873689376e-06
6,9.42587861790901e-06,9.425882126379292e-06,6.843835064735744e-06,6.843835308245616e-06,4.999999873689376e-06
7,9.484261713893366e-06,9.484262591286097e-06,6.5614002485216914e-06,6.561401278304402e-06,4.999999873689376e-06
8,9.466691253989433e-06,9.466691153647844e-06,6.557093981809298e-06,6.557094366144156e-06,4.999999873689376e-06
9,9.408494987074436e-06,9.4084953161655e-06,6.6456193493532705e-06,6.645619123446522e-06,4.999999873689376e-06
10,9.387085500138684e-06,9.387083991896361e-06,6.56007744715504e-06,6.56007705401862e-06,4.999999873689376e-06
11,9.28968110126245e-06,9.289679837820586e-06,6.536661963294929e-06,6.536662567668827e-06,9.999999974752427e-07
12,9.280499525608136e-06,9.280498488806188e-06,6.532673870101609e-06,6.532674888148904e-06,9.999999974752427e-07
13,9.278979742718129e-06,9.278983270633034e-06,6.533976301720794e-06,6.53397592031979e-06,9.999999974752427e-07
14,9.276053054989603e-06,9.276055607188027e-06,6.533474659649543e-06,6.533474333991762e-06,9.999999974752427e-07
15,9.269938680051282e-06,9.269940164813306e-06,6.546545659324282e-06,6.546545591845643e-06,9.999999974752427e-07
16,9.26521512521299e-06,9.265215339837596e-06,6.55618400595549e-06,6.556184416695032e-06,9.999999974752427e-07
17,9.270403080373164e-06,9.270399459637702e-06,6.562672760699042e-06,6.56267275189748e-06,9.999999974752427e-07
18,9.261016065219633e-06,9.261013474315405e-06,6.600045458805154e-06,6.600044798688032e-06,9.999999974752427e-07
19,9.262193165254576e-06,9.262193088943604e-06,6.536592384016389e-06,6.536592536576791e-06,9.999999974752427e-07
20,9.255946575871761e-06,9.25594758882653e-06,6.559272421122108e-06,6.559272605954902e-06,9.999999974752427e-07
21,9.255240282978378e-06,9.25524000194855e-06,6.55367994113476e-06,6.553679213538999e-06,9.999999974752427e-07
22,9.24657274417229e-06,9.246577064914163e-06,6.5634118219614105e-06,6.563411716342671e-06,9.999999974752427e-07
23,9.243833203414359e-06,9.243830390914809e-06,6.565841149788485e-06,6.5658405219437554e-06,9.999999974752427e-07
24,9.243155480174633e-06,9.243155545846093e-06,6.568934435152539e-06,6.568935077666538e-06,9.999999974752427e-07
25,9.248291848384418e-06,9.248290552932303e-06,6.55816023819141e-06,6.558161203429336e-06,9.999999974752427e-07
26,9.23667695350016e-06,9.236678124580067e-06,6.55771776315129e-06,6.55771691526752e-06,9.999999974752427e-07
27,9.242572209739051e-06,9.242572559742257e-06,6.570950649949091e-06,6.570950063178316e-06,9.999999974752427e-07
28,9.240181303725071e-06,9.240181498171296e-06,6.56051716730637e-06,6.560517704201629e-06,9.999999974752427e-07
29,9.23146857405704e-06,9.231469448423013e-06,6.5562534737475814e-06,6.556253083545016e-06,9.999999974752427e-07
30,9.237549586884296e-06,9.237549420504365e-06,6.573470551713047e-06,6.5734707277442794e-06,9.999999974752427e-07
31,9.223788596535013e-06,9.223790584655944e-06,6.548533445076769e-06,6.5485332925163675e-06,9.999999974752427e-07
32,9.234829232098702e-06,9.234829121851362e-06,6.586544391358339e-06,6.5865438045875635e-06,9.999999974752427e-07
33,9.212377321885409e-06,9.212377335643396e-06,6.562004246886992e-06,6.562004273291677e-06,9.999999974752427e-07
34,9.213944254316196e-06,9.213943485519849e-06,6.554989742594884e-06,6.5549897954042535e-06,9.999999974752427e-07
35,9.209365906965908e-06,9.209365998685826e-06,6.563877119450837e-06,6.56387828712468e-06,9.999999974752427e-07
36,9.213668626608725e-06,9.21367245609872e-06,6.567833292313979e-06,6.56783322483534e-06,9.999999974752427e-07
37,9.202764491744712e-06,9.20276579563506e-06,6.558899410940226e-06,6.5588992583798245e-06,9.999999974752427e-07
38,9.197245690368263e-06,9.197242434311192e-06,6.549552255173987e-06,6.549552381329704e-06,9.999999974752427e-07
39,9.21906863051365e-06,9.219066669174936e-06,6.5585325765207546e-06,6.558531822520308e-06,9.999999974752427e-07
40,9.226688626052961e-06,9.226689144270495e-06,6.558422650883703e-06,6.558421773661394e-06,9.999999974752427e-07
41,9.200815876783065e-06,9.200814020005055e-06,6.6269505858203514e-06,6.62695038045058e-06,9.999999974752427e-07
42,9.200526932444213e-06,9.200526619679295e-06,6.568635683746129e-06,6.568634489667602e-06,9.999999974752427e-07
43,9.20598909273594e-06,9.205988135363441e-06,6.5850662952382866e-06,6.5850658756971825e-06,9.999999974752427e-07
44,9.197912381169434e-06,9.197912731906399e-06,6.634201473653159e-06,6.634201326960465e-06,9.999999974752427e-07
45,9.191349298911952e-06,9.191348908643704e-06,6.6234750046268964e-06,6.623476110689808e-06,9.999999974752427e-07
46,9.174094434861895e-06,9.174096703645773e-06,6.609432054369057e-06,6.60943169350503e-06,9.999999974752427e-07
47,9.188744783171946e-06,9.188745025312528e-06,6.5738944701273975e-06,6.573894552275306e-06,9.999999974752427e-07
48,9.17658105097665e-06,9.17657780519221e-06,6.615020626463041e-06,6.615020538447425e-06,9.999999974752427e-07
49,9.171855197637225e-06,9.171854799205903e-06,6.603282089335769e-06,6.6032821450789925e-06,9.999999974752427e-07
50,9.187955469078052e-06,9.187957402900793e-06,6.580880078892674e-06,6.580879471584922e-06,9.999999974752427e-07
51,9.171731078209209e-06,9.171732926915865e-06,6.713332195138191e-06,6.71333282298292e-06,9.999999974752427e-07
52,9.173089209697526e-06,9.173088983516209e-06,6.580522899786311e-06,6.580522494914476e-06,9.999999974752427e-07
53,9.176858575818895e-06,9.176857929560356e-06,6.616748631190163e-06,6.616748578380793e-06,9.999999974752427e-07
54,9.173309461688256e-06,9.173306352749933e-06,6.569540199697874e-06,6.569540346390568e-06,9.999999974752427e-07
