,loss,mse,val_loss,val_mse,lr
0,2.543657665615632e-05,2.5436582291149534e-05,4.249912403911992e-05,4.24991303589195e-05,0.0010000000474974513
1,2.8414039896661485e-05,2.841404239006806e-05,2.5956429283874548e-05,2.595642399683129e-05,0.0010000000474974513
2,2.7464557135470787e-05,2.7464564482215792e-05,3.360097197137354e-05,3.3600968890823424e-05,0.0010000000474974513
3,2.2050278888571746e-05,2.205028613389004e-05,1.0048314946603788e-05,1.0048316653410438e-05,0.0010000000474974513
4,2.2113933167593318e-05,2.21139271161519e-05,1.0497074661645725e-05,1.049707134370692e-05,0.0010000000474974513
5,2.2925359579719968e-05,2.2925351004232652e-05,0.00013855121470225217,0.00013855125871486962,0.0010000000474974513
6,2.1643722627583205e-05,2.164373108826112e-05,1.65501441657373e-05,1.65501387527911e-05,0.0010000000474974513
7,2.5671378788693834e-05,2.5671362891444005e-05,2.2407737269878243e-05,2.240773756057024e-05,0.0010000000474974513
8,1.8368897003284013e-05,1.836890442064032e-05,1.361333956410336e-05,1.3613338524010032e-05,0.0010000000474974513
9,1.893036483032442e-05,1.8930359146906994e-05,2.4918875189636224e-05,2.491888153599575e-05,0.0010000000474974513
10,2.1350050885068864e-05,2.135004979209043e-05,1.1141557127541402e-05,1.1141557479277253e-05,0.0010000000474974513
11,1.110672549288561e-05,1.1106721103715245e-05,1.2107579488981366e-05,1.2107575457775965e-05,0.00020000000949949026
12,1.1291181032003457e-05,1.1291175724181812e-05,9.106747089197007e-06,9.106747711484786e-06,0.00020000000949949026
13,1.1529716899471325e-05,1.1529713447089307e-05,1.1867016546252117e-05,1.1867012290167622e-05,0.00020000000949949026
14,1.1855529680606275e-05,1.1855534467031248e-05,1.2825096942610874e-05,1.2825094927393366e-05,0.00020000000949949026
15,1.1605882725119213e-05,1.1605881809373386e-05,1.839199931087474e-05,1.839200376707595e-05,0.00020000000949949026
16,1.2033358054953848e-05,1.2033359780616593e-05,1.1438996034620906e-05,1.1438991350587457e-05,0.00020000000949949026
17,1.1954058651946314e-05,1.1954057299590204e-05,9.063021616190072e-06,9.063021025212947e-06,0.00020000000949949026
18,1.21600598035907e-05,1.2160060578025877e-05,1.4179156498575532e-05,1.4179156096361112e-05,0.00020000000949949026
19,1.1635302217767223e-05,1.1635299415502232e-05,9.216536094924627e-06,9.2165346359252e-06,0.00020000000949949026
20,1.1845226523011805e-05,1.1845232620544266e-05,1.0413035553563176e-05,1.041303767124191e-05,0.00020000000949949026
21,1.0273634341330943e-05,1.0273635780322365e-05,9.499447518256946e-06,9.499446605332196e-06,4.0000002627493814e-05
22,1.032044074465097e-05,1.0320443834643811e-05,9.194484758936702e-06,9.194485755870119e-06,4.0000002627493814e-05
23,1.0421306317450643e-05,1.042131225403864e-05,1.2774180445137073e-05,1.2774175957019906e-05,4.0000002627493814e-05
24,1.0343725938272877e-05,1.0343718713556882e-05,9.741539997115942e-06,9.741541362018324e-06,4.0000002627493814e-05
25,1.0464493590558932e-05,1.0464494152984116e-05,9.7126545998682e-06,9.712651262816507e-06,4.0000002627493814e-05
26,1.0332917459215e-05,1.0332915735489223e-05,9.809225916105126e-06,9.80922322924016e-06,4.0000002627493814e-05
27,1.0271455790900902e-05,1.0271453902532812e-05,9.687919079067383e-06,9.687918463896494e-06,4.0000002627493814e-05
28,1.0329993692598211e-05,1.032999534800183e-05,9.828100546092578e-06,9.828098882280756e-06,4.0000002627493814e-05
29,1.0409703383721242e-05,1.0409707101644017e-05,1.3216929561317458e-05,1.3216929801274091e-05,4.0000002627493814e-05
30,1.040015424191688e-05,1.0400153769296594e-05,1.0102780633501103e-05,1.0102782653120812e-05,4.0000002627493814e-05
31,9.890676457188228e-06,9.890678484225646e-06,9.384574542193933e-06,9.384575605508871e-06,8.000000889296643e-06
32,9.902442766057013e-06,9.902440069708973e-06,1.0039506677235516e-05,1.0039501830760855e-05,8.000000889296643e-06
33,9.905057274540231e-06,9.905060323944781e-06,9.881905692414375e-06,9.881905498332344e-06,8.000000889296643e-06
34,9.88009995157745e-06,9.880099241854623e-06,9.223296903066556e-06,9.223298548022285e-06,8.000000889296643e-06
35,9.909222908980697e-06,9.909216714731883e-06,9.290197155211691e-06,9.290196430811193e-06,8.000000889296643e-06
36,9.929668127565408e-06,9.929661246133037e-06,9.612164495015017e-06,9.612163921701722e-06,8.000000889296643e-06
37,9.899077451472368e-06,9.899069482344203e-06,9.675924797244212e-06,9.675924957264215e-06,8.000000889296643e-06
38,9.9258310029634e-06,9.92583045444917e-06,9.593337003629502e-06,9.593337381375022e-06,8.000000889296643e-06
39,9.895978144630264e-06,9.895982657326385e-06,9.464405595608362e-06,9.464407412451692e-06,8.000000889296643e-06
40,9.919480222627491e-06,9.919479452946689e-06,9.563250890317232e-06,9.563247658661567e-06,8.000000889296643e-06
41,9.845599613529357e-06,9.845600288826972e-06,9.399405702634245e-06,9.399404916621279e-06,4.999999873689376e-06
42,9.848114772967033e-06,9.848114132182673e-06,9.340814168556767e-06,9.340817996417172e-06,4.999999873689376e-06
43,9.868687163739465e-06,9.86869417829439e-06,9.811524562438098e-06,9.811527888814453e-06,4.999999873689376e-06
44,9.874931367672512e-06,9.87493694992736e-06,9.13803080453027e-06,9.13803160074167e-06,4.999999873689376e-06
45,9.874328881667702e-06,9.874329407466576e-06,9.182737659904207e-06,9.182736903312616e-06,4.999999873689376e-06
46,9.879509632243365e-06,9.879509889287874e-06,9.2723733518699e-06,9.272372153645847e-06,4.999999873689376e-06
47,9.871869574185205e-06,9.871867405308876e-06,9.247257356202382e-06,9.24725736695109e-06,4.999999873689376e-06
48,9.874859543035793e-06,9.874862371361814e-06,9.312060284382304e-06,9.312060683441814e-06,4.999999873689376e-06
49,9.847352971444447e-06,9.847355613601394e-06,9.443842377056246e-06,9.443841918255202e-06,4.999999873689376e-06
50,9.845992686222006e-06,9.845982276601717e-06,9.214032576362472e-06,9.214033525495324e-06,4.999999873689376e-06
51,9.827191303857025e-06,9.827185749600176e-06,1.055705622054929e-05,1.0557054338278249e-05,4.999999873689376e-06
52,9.85233181886265e-06,9.8523350970936e-06,9.328227093443327e-06,9.328229680249933e-06,4.999999873689376e-06
53,9.830892963493341e-06,9.83089648798341e-06,9.726796141050109e-06,9.726796633913182e-06,4.999999873689376e-06
54,9.853859329917629e-06,9.853861229203176e-06,9.89565630331907e-06,9.895653420244344e-06,4.999999873689376e-06
55,9.865818746522602e-06,9.865822903520893e-06,9.164089674147511e-06,9.164085895463359e-06,4.999999873689376e-06
56,9.838781775131825e-06,9.838782716542482e-06,9.321342084723998e-06,9.321340257884003e-06,4.999999873689376e-06
57,9.82692321871589e-06,9.826923815126065e-06,9.374972269753918e-06,9.374973160447553e-06,4.999999873689376e-06
58,9.836825131944284e-06,9.836822755460162e-06,9.19650245787339e-06,9.196503924613353e-06,4.999999873689376e-06
59,9.865323473302812e-06,9.865325409919024e-06,9.637572409042084e-06,9.637572475185152e-06,4.999999873689376e-06
60,9.84398102234688e-06,9.843975931289606e-06,9.832510835429565e-06,9.83251266006846e-06,4.999999873689376e-06
61,9.855357067479352e-06,9.8553609859664e-06,9.179675428093428e-06,9.179674634651747e-06,4.999999873689376e-06
62,9.854372844383127e-06,9.854373274720274e-06,9.164271367725195e-06,9.16427143238252e-06,4.999999873689376e-06
63,9.853098220112868e-06,9.853097253653686e-06,9.186210502306371e-06,9.186208444589283e-06,4.999999873689376e-06
64,9.851017886438283e-06,9.85101087280782e-06,9.604041699591032e-06,9.604043953004293e-06,4.999999873689376e-06
65,9.863700372593797e-06,9.863706509349868e-06,9.067115509683327e-06,9.067109203897417e-06,4.999999873689376e-06
66,9.844897935461487e-06,9.844898158917204e-06,9.442235917546997e-06,9.44223484111717e-06,4.999999873689376e-06
67,9.874705907985968e-06,9.874703209789004e-06,9.187943493798605e-06,9.187944669974968e-06,4.999999873689376e-06
